complaint_id,category,priority,reason,flag
AM-202401,Other,Standard,The category is genuinely ambiguous and requires manual review.,NEEDS_REVIEW
AM-202402,Other,Standard,The category is genuinely ambiguous and requires manual review.,NEEDS_REVIEW
AM-202405,Other,Standard,The category is genuinely ambiguous and requires manual review.,NEEDS_REVIEW
AM-202406,Heat Hazard,Standard,The complaint mentions 'heat' which indicates a Heat Hazard issue.,
AM-202407,Other,Urgent,The category is genuinely ambiguous and requires manual review.,NEEDS_REVIEW
AM-202410,Pothole,Standard,The complaint mentions 'pothole' which indicates a Pothole issue.,
AM-202414,Other,Standard,The category is genuinely ambiguous and requires manual review.,NEEDS_REVIEW
AM-202417,Waste,Standard,The complaint mentions 'waste' which indicates a Waste issue.,
AM-202421,Other,Standard,The category is genuinely ambiguous and requires manual review.,NEEDS_REVIEW
AM-202424,Road Damage,Standard,The complaint mentions 'road' which indicates a Road Damage issue.,
AM-202429,Other,Standard,The category is genuinely ambiguous and requires manual review.,NEEDS_REVIEW
AM-202431,Road Damage,Standard,The complaint mentions 'road' which indicates a Road Damage issue.,
AM-202435,Road Damage,Standard,The complaint mentions 'road' which indicates a Road Damage issue.,
AM-202444,Waste,Standard,The complaint mentions 'waste' which indicates a Waste issue.,
AM-202445,Other,Standard,The category is genuinely ambiguous and requires manual review.,NEEDS_REVIEW
